run_id,date,round,baseline_ref,code_ref,config_delta,n_trades,n_long,n_short,win_rate,profit_factor,avg_r,expectancy,max_dd_pct,trades_per_day,total_pnl,same_bar_stop_rate,exit_mix,n_qualified,n_dip_armed,n_path_b_trades,n_trigger_coincidences,verdict,notes
r23-w18-t1-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":6,""profit_take"":1,""other"":3}",447,4,0,24,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 7 of 17 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t1-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",10,9,1,0.5,1.52,0.06,17.45,-0.002293,0.007987,174.55,0.0,"{""hard_stop"":6,""profit_take"":1,""other"":3}",447,4,0,24,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 7 of 17 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t1-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",10,9,1,0.5,1.59,-0.02,18.85,-0.002649,0.007987,188.55,0.0,"{""hard_stop"":5,""profit_take"":1,""other"":4}",447,4,0,24,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 7 of 17 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t05-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.0,""shorts_enabled"":true}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":6,""profit_take"":1,""other"":3}",592,8,0,36,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 16 of 27 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t05-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.5,""shorts_enabled"":true}",10,9,1,0.5,1.52,0.06,17.45,-0.002293,0.007987,174.55,0.0,"{""hard_stop"":6,""profit_take"":1,""other"":3}",592,8,0,36,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 16 of 27 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t05-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":2.0,""shorts_enabled"":true}",10,9,1,0.5,1.59,-0.02,18.85,-0.002649,0.007987,188.55,0.0,"{""hard_stop"":5,""profit_take"":1,""other"":4}",592,8,0,36,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 16 of 27 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t0-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":6,""profit_take"":1,""other"":3}",792,13,0,55,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 32 of 44 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t0-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",10,9,1,0.5,1.52,0.06,17.45,-0.002293,0.007987,174.55,0.0,"{""hard_stop"":6,""profit_take"":1,""other"":3}",792,13,0,55,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 32 of 44 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w18-t0-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":18,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",10,9,1,0.5,1.59,-0.02,18.85,-0.002649,0.007987,188.55,0.0,"{""hard_stop"":5,""profit_take"":1,""other"":4}",792,13,0,55,INFO,w18 grid cell: identical 10 trades (9L/1S) at every threshold; quality check killed 32 of 44 bypasses; stop widening HURTS here (opposite of w12): s1 pf 2.06/+262 vs s15 pf 1.52/+175
r23-w24-t1-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",16,14,2,0.375,0.97,-0.27,-1.42,-0.002901,0.01278,-22.66,0.125,"{""hard_stop"":13,""profit_take"":0,""other"":3}",517,28,0,41,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 16 of 33 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t1-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",16,14,2,0.375,0.7,-0.51,-17.26,-0.004625,0.01278,-276.14,0.0,"{""hard_stop"":13,""profit_take"":0,""other"":3}",517,28,0,41,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 16 of 33 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t1-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":1.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",16,14,2,0.375,0.63,-0.48,-23.43,-0.00561,0.01278,-374.8,0.0,"{""hard_stop"":11,""profit_take"":0,""other"":5}",517,28,0,41,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 16 of 33 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t05-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.0,""shorts_enabled"":true}",16,14,2,0.375,0.97,-0.27,-1.42,-0.002901,0.01278,-22.66,0.125,"{""hard_stop"":13,""profit_take"":0,""other"":3}",633,34,0,60,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 29 of 49 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t05-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":1.5,""shorts_enabled"":true}",16,14,2,0.375,0.7,-0.51,-17.26,-0.004625,0.01278,-276.14,0.0,"{""hard_stop"":13,""profit_take"":0,""other"":3}",633,34,0,60,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 29 of 49 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t05-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.5,""stop_atr_mult"":2.0,""shorts_enabled"":true}",16,14,2,0.375,0.63,-0.48,-23.43,-0.00561,0.01278,-374.8,0.0,"{""hard_stop"":11,""profit_take"":0,""other"":5}",633,34,0,60,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 29 of 49 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t0-s1,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.0,""shorts_enabled"":true}",16,14,2,0.375,0.97,-0.27,-1.42,-0.002901,0.01278,-22.66,0.125,"{""hard_stop"":13,""profit_take"":0,""other"":3}",814,45,0,80,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 45 of 66 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t0-s15,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":1.5,""shorts_enabled"":true}",16,14,2,0.375,0.7,-0.51,-17.26,-0.004625,0.01278,-276.14,0.0,"{""hard_stop"":13,""profit_take"":0,""other"":3}",814,45,0,80,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 45 of 66 bypasses; window effect peaks at 18 and degrades by 24"
r23-w24-t0-s2,2026-07-04,2+3,m7-baseline,49c79b2,"{""rrs_m5_window"":24,""rrs_m5_threshold_long"":0.0,""stop_atr_mult"":2.0,""shorts_enabled"":true}",16,14,2,0.375,0.63,-0.48,-23.43,-0.00561,0.01278,-374.8,0.0,"{""hard_stop"":11,""profit_take"":0,""other"":5}",814,45,0,80,REJECTED,"w24 grid cell: 16 trades (14L/2S) but PF<1 at every stop level (13 hard-stop exits incl. positive trailing-stop exits, 0 profit takes); quality killed 45 of 66 bypasses; window effect peaks at 18 and degrades by 24"
anchor-w18-t1-s1,2026-07-04,1,m7-baseline,26be6ac,"{""defaults"":""post-R1R4 (w18 default, trail_stop semantics)""}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":4,""trail_stop"":2,""profit_take"":1,""other"":3}",447,4,0,24,INFO,NEW ANCHOR post-R1+R4 build: identical 10 trades/+262.11 to r23-w18-t1-s1 (trail relabel changed no outcomes); honest exit mix 4 hard/2 trail/2 rsfail/1 flat/1 take; funnel partition exact (24=7+0+17)
r1a-w18-t1-s1,2026-07-04,1,anchor-w18-t1-s1,26be6ac,"{""dip_hold_mode"":""d1_session""}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":4,""trail_stop"":2,""profit_take"":1,""other"":3}",266,342,0,117,INFO,"Round 1a d1_session: dip-arm UNLOCKED mechanically (342 armed vs 4 strict, 333 reached entry-eval) but 0 conversions -- killed by bias wall (208), dip-quality (80), entry window (46). Same 10 trigger trades to the cent. Next wall = bias-at-arm; combo with bias_hold_bars=1 queued"
r1b-w18-t1-s1,2026-07-04,1,anchor-w18-t1-s1,26be6ac,"{""dip_hold_mode"":""grace"",""dip_hold_grace_bars"":24}",10,9,1,0.5,2.06,0.09,26.21,-0.001726,0.007987,262.11,0.2,"{""hard_stop"":4,""trail_stop"":2,""profit_take"":1,""other"":3}",268,215,0,83,INFO,"Round 1b grace(24): same pattern smaller (215 armed, bias wall 135, quality 50, window 16; 0 conversions, same 10 trades). d1_session dominates grace as the alert-model variant"
r4a-w18-t1-s1,2026-07-04,4,anchor-w18-t1-s1,26be6ac,"{""bias_hold_bars"":1}",13,12,1,0.538,3.71,0.09,57.89,-0.001379,0.010383,752.57,0.154,"{""hard_stop"":5,""trail_stop"":4,""profit_take"":1,""other"":3}",447,4,0,24,PROMOTED,"Round 4a: bias 2-bar hold -> bucket-only. STRICTLY ADDITIVE: anchor's 10 trades kept + APD +109 (trail win), AMD +410 (trail win -- the exact trade M7's ablation flagged as bias-blocked), RTX -29. 13 trades, PF 3.71, +753 (~3x anchor). Best single lever of the campaign; promoted as new baseline candidate (13-trade sample caveat)."
r4b-w18-t05-s1,2026-07-04,4,anchor-w18-t1-s1,26be6ac,"{""rrs_m5_threshold_long"":0.5,""rrs_m5_threshold_short"":-0.5}",15,13,2,0.4,1.41,-0.18,11.23,-0.002049,0.011981,168.4,0.267,"{""hard_stop"":8,""trail_stop"":3,""profit_take"":1,""other"":3}",592,8,0,36,REJECTED,"Round 4b: threshold retest with confirm fix live -- lever now real, answer negative: +5 marginal trades dilute PF 2.06->1.41, PnL 262->168, same-bar stops 20%->27%."
r4b-w18-t0-s1,2026-07-04,4,anchor-w18-t1-s1,26be6ac,"{""rrs_m5_threshold_long"":0.0,""rrs_m5_threshold_short"":0.0}",21,19,2,0.286,1.02,-0.44,0.41,-0.003643,0.016773,8.67,0.333,"{""hard_stop"":13,""trail_stop"":3,""profit_take"":1,""other"":4}",792,13,0,55,REJECTED,"Round 4b: threshold 0.0 -- 21 trades, edge gone (PF 1.02, +9), same-bar stops 33%. B1 definitively closed: RRS >= 1.0 earns its keep; edge lives in strong-RRS names."
r5-w18-t1-s1,2026-07-04,5,anchor-w18-t1-s1,26be6ac,"{""dip_hold_mode"":""d1_session"",""bias_hold_bars"":1}",13,12,1,0.538,3.71,0.09,57.89,-0.001379,0.010383,752.57,0.154,"{""hard_stop"":5,""trail_stop"":4,""profit_take"":1,""other"":3}",266,342,0,117,INFO,"Round 5 combo: IDENTICAL to r4a to the cent -- with the bias wall down, all 342 dip-arms die at dip-quality (92 qualkill) + window. Path B still zero conversions ever; final wall = dip_quality_pass_long (VWAP-held-6-bars + depth<=1.5ATR contradicts an RRS-zero-cross dip). Next lever: parameterize dip quality."
rob-w12-t1-s1,2026-07-04,rob,r4a-w18-t1-s1,26be6ac,"{""rrs_m5_window"":12,""bias_hold_bars"":1}",4,4,0,0.5,18.51,0.21,141.49,-0.000242,0.003195,565.96,0.5,"{""hard_stop"":2,""trail_stop"":0,""profit_take"":1,""other"":1}",346,0,0,15,INFO,"Robustness A1: w12 + hold=1 -- strictly additive (adds AMD +448 rs_failure exit), 4 trades PF 18.5 +566 vs 3/4.6/+117. Lever direction confirmed at w12."
rob-w24-t1-s1,2026-07-04,rob,r4a-w18-t1-s1,26be6ac,"{""rrs_m5_window"":24,""bias_hold_bars"":1}",19,17,2,0.368,1.41,-0.31,16.26,-0.00292,0.015176,308.9,0.105,"{""hard_stop"":11,""trail_stop"":5,""profit_take"":0,""other"":3}",517,27,0,41,INFO,"Robustness A2: w24 + hold=1 -- rescues the rejected window (19 trades, PF 0.97->1.41, -23->+309). Lever improves all three windows; w18 remains PnL peak."
rob-w18-t1-s15,2026-07-04,rob,r4a-w18-t1-s1,26be6ac,"{""bias_hold_bars"":1,""stop_atr_mult"":1.5}",13,12,1,0.538,2.82,0.07,51.12,-0.001947,0.010383,664.61,0.0,"{""hard_stop"":5,""trail_stop"":4,""profit_take"":1,""other"":3}",447,4,0,24,INFO,Robustness A3: stop 1.5 under new baseline -- PF 2.82/+665 < s1's 3.71/+753. Stop 1.0 stays.
rob-w18-t1-s2,2026-07-04,rob,r4a-w18-t1-s1,26be6ac,"{""bias_hold_bars"":1,""stop_atr_mult"":2.0}",13,12,1,0.538,2.93,0.01,52.21,-0.002302,0.010383,678.74,0.0,"{""hard_stop"":4,""trail_stop"":4,""profit_take"":1,""other"":4}",447,4,0,24,INFO,Robustness A3: stop 2.0 -- PF 2.93/+679 < s1. Stop 1.0 stays; notional-cap interaction unchanged.
PROMOTION,2026-07-04,rob,r4a-w18-t1-s1,8643242,"{""bias_hold_bars"":""default 2 -> 1""}",,,,,,,,,,,,,,,,,PROMOTED,"bias_hold_bars=1 promoted to BacktestConfigM5 default (commit 8643242) after 3-check robustness pass: additive+improving at w12/w18/w24; split-half both positive (front-loaded to 2022-23 chop, property of the w18 baseline overall); stop 1.0 confirmed best. New baseline = config defaults (w18, hold=1, strict, stop 1.0)."
m75-study-suite,2026-07-05,study,r4a-w18-t1-s1,8643242,"{""suite"":""run_validation_studies.py on promoted defaults""}",13,12,1,0.538,3.71,,57.89,,0.010383,752.57,0.154,"{""see"":""reports/m7_studies/""}",,,,,INFO,"Full 08 s3 suite on promoted baseline: ablation monotonicity CONFIRMED first time (6 rules 58% win +0.20R vs 5 rules 33% -0.39R across 30 long trades); rrs peak w18/t1.0 confirmed (t0.75 = volume alternative, same PnL lower PF); MIDDAY/CHOP = 4/4 wins +605; walk-away 984 signals still symmetric; bias confusion unchanged. Shorts weak everywhere (5/6 lost)."
